iter,LR0.9_E0.0_Time,LR0.9_E0.0_Rewards,LR0.9_E0.0_Steps,LR0.9_E0.0_Convergence,LR0.9_E0.5_Time,LR0.9_E0.5_Rewards,LR0.9_E0.5_Steps,LR0.9_E0.5_Convergence,LR0.9_E0.7_Time,LR0.9_E0.7_Rewards,LR0.9_E0.7_Steps,LR0.9_E0.7_Convergence,LR0.9_E0.9_Time,LR0.9_E0.9_Rewards,LR0.9_E0.9_Steps,LR0.9_E0.9_Convergence
63,0.017832569,-41.04,120.82,8.4920161384,0.013313194,-44.2,134.08,7.5848383187,0.013549436,19.78,82.22,9.9843703096,0.013123546,2.22,99.78,8.2329526648
64,0.018010786,-20.72,112.62,8.0601562589,0.013471728,-71.2,148.96,7.7882095911,0.013649381,29.92,72.08,10.1264613593,0.01324036,-30.12,115.96,8.0700481101
65,0.018247935,39.58,62.42,8.7048428368,0.013583827,-85.78,155.46,8.2333690135,0.01375174,36.14,65.86,9.8253924768,0.013341746,9.38,92.62,7.9810491328
66,0.018387597,-5.84,105.82,8.920400355,0.013753813,-44.16,132.02,8.3471438707,0.013879917,-18.16,114.1,9.6503609157,0.013437653,52.5,49.5,8.0917647836
67,0.018565532,-26.12,122.06,8.0319519977,0.013879818,-46.3,132.14,9.1176636165,0.013990379,22.52,79.48,9.1843976745,0.013548261,-19.82,113.74,7.6536408591
68,0.018703618,33.72,68.28,8.0910702562,0.014031694,-84.7,156.4,9.1025663762,0.01414338,51.24,50.76,9.2466232129,0.013665945,38.74,63.26,7.6729376657
69,0.018827376,51.14,50.86,8.3930031749,0.014258741,-59.12,140.92,8.6003151849,0.014323438,38.24,63.76,8.6385512932,0.013773323,51.76,50.24,7.5041297035
70,0.01905887,35.54,66.46,8.3351835521,0.014467788,51.78,50.22,9.3827394633,0.014452789,37.42,64.58,7.9684455061,0.013873911,52.86,49.14,7.2474973539
71,0.019184143,-159.44,186.7,8.0614566836,0.014596874,38.8,63.2,9.8260026982,0.014571274,38.08,63.92,7.8479118679,0.013967443,-19.18,115.12,6.4915820831
72,0.019374235,6.9,95.1,7.9564727317,0.014689968,50.56,51.44,10.765536028,0.01473102,53.04,48.96,7.6597350743,0.014074439,37.2,64.8,6.1226989402
73,0.019478457,3.94,98.06,7.7046670357,0.014801008,3.44,98.56,11.8584851609,0.014874399,-7.74,109.74,7.6248067846,0.014175474,-13.2,109.14,6.1833718115
74,0.019573211,5.08,94.9,7.7949246302,0.014962451,-60.34,142.14,11.7096265355,0.015026876,-11.64,111.62,6.9692035059,0.014357288,-65.94,145.72,6.2758954191
75,0.01970201,17.38,84.62,7.0455448155,0.015076152,17.06,82.92,11.480560892,0.015150126,41.74,60.26,7.4253656833,0.014483069,-27.8,123.74,6.8102049812
76,0.019823808,30.38,71.62,6.6172489448,0.015254244,-32.58,124.48,11.8940141448,0.015246192,17.94,84.06,7.4367355617,0.014632786,-41.68,131.56,6.9570150525
