iter,LR0.1_E0.0_Time,LR0.1_E0.0_Rewards,LR0.1_E0.0_Steps,LR0.1_E0.0_Convergence,LR0.1_E0.5_Time,LR0.1_E0.5_Rewards,LR0.1_E0.5_Steps,LR0.1_E0.5_Convergence,LR0.1_E0.7_Time,LR0.1_E0.7_Rewards,LR0.1_E0.7_Steps,LR0.1_E0.7_Convergence,LR0.1_E0.9_Time,LR0.1_E0.9_Rewards,LR0.1_E0.9_Steps,LR0.1_E0.9_Convergence
124,0.0467398,36.28,65.72,0.3731163098,0.039074255,6.98,95.02,0.3739254687,0.038833237,13.66,88.34,0.402043728,0.037082469,-156.68,185.96,0.4072447147
125,0.046924001,4.34,97.66,0.359607769,0.039192261,-78.62,154.36,0.3621556723,0.03895907,-25.74,119.66,0.4103878357,0.037248033,-124.2,169.64,0.4166374825
126,0.047104053,17.68,84.32,0.3566849146,0.039337877,-24.86,116.76,0.386981481,0.039100051,-23.18,115.08,0.4113418253,0.037401279,15.26,84.72,0.4217879394
127,0.047237027,15.82,86.18,0.358864421,0.039445297,21.56,80.44,0.3868897517,0.039249243,51.6,50.4,0.4054750781,0.03757176,-24.5,122.46,0.4310934204
128,0.047354538,23.62,78.38,0.3546472863,0.039617101,-18.32,116.28,0.4002439197,0.039353729,53.02,48.98,0.4076328411,0.037704653,-65.46,141.2,0.4260830171
129,0.047570938,-157.82,183.06,0.3417984177,0.039750654,-38.42,128.3,0.395038608,0.039459752,-112.98,166.5,0.4169958104,0.037860323,-125.34,172.8,0.4417679012
130,0.047702734,15.06,86.94,0.327699061,0.04000338,-8.54,108.52,0.4049603686,0.039578621,52.32,49.68,0.4197452568,0.038000429,-55.94,139.76,0.4371521647
131,0.047904796,-19.32,113.24,0.3407742633,0.040097884,-15.58,113.54,0.4172351367,0.039692925,35.66,66.34,0.4202100909,0.03812075,16.96,85.04,0.4332114392
132,0.048135871,25.8,76.2,0.3392970978,0.040247962,-125.16,164.54,0.4121736168,0.039798355,22.64,79.36,0.4275650483,0.038260528,-109.26,164.8,0.4385264624
133,0.048294647,18.92,81.06,0.3482018616,0.040366693,8.9,93.1,0.4218738084,0.039914608,10.36,91.64,0.4337072657,0.038441867,-3.94,103.92,0.4416656337
134,0.048405776,-9.54,105.48,0.3690598978,0.040521718,-1.54,101.52,0.4191075917,0.040030971,2.62,97.36,0.4176048067,0.03858741,-81.02,148.68,0.4373471065
135,0.04854768,-35.74,129.66,0.3955962775,0.040658492,-47.9,131.72,0.4389479516,0.040147416,53.46,48.54,0.4201409831,0.038720152,0.28,101.72,0.4276002984
136,0.048694499,28.34,73.66,0.4053287524,0.040770004,-7.1,101.02,0.445843583,0.040295679,22.64,77.34,0.4131844002,0.038849613,52.84,49.16,0.4344505087
137,0.048806828,4.8,93.16,0.4169514827,0.040905286,-50.04,129.82,0.4666234879,0.040391334,18.54,83.46,0.422920988,0.039006141,-22.06,113.96,0.4289528073
138,0.048943684,30.04,71.96,0.4278897311,0.041017633,14.02,87.98,0.4633944932,0.040505179,18.3,83.7,0.4163991336,0.039131274,37.96,64.04,0.4367945465
139,0.04907936,51.72,50.28,0.4399168327,0.041166037,13.38,86.6,0.4759326807,0.040608709,12.6,89.4,0.4043294759,0.039265492,38.36,63.64,0.4317440941
140,0.049197822,54.08,47.92,0.4484935889,0.041337857,-142.56,175.88,0.4588378492,0.040796392,36.94,65.06,0.4030993362,0.039353277,-0.1,102.1,0.4262965489
141,0.049348937,53.08,48.92,0.4571701269,0.041471381,20.46,81.54,0.451519226,0.04092109,35.36,66.64,0.4178358436,0.0394952,38.3,63.7,0.4185503313
142,0.049443128,41.04,60.96,0.4443084578,0.041602306,-35.04,120.88,0.4562779537,0.04101869,30.96,71.04,0.4038110103,0.039655156,39.04,62.96,0.4272699278
143,0.049572017,52.78,49.22,0.4349039896,0.04174788,-58.72,134.46,0.4418468297,0.041132976,36.4,65.6,0.3919596463,0.039803223,53.1,48.9,0.4263019995
144,0.04969834,11.46,90.54,0.4207421308,0.041852115,-138.78,172.1,0.4349223779,0.041248313,51.78,50.22,0.4015465332,0.039918546,33.76,68.24,0.4148511813
145,0.049841773,52.36,49.64,0.4266235843,0.041949979,7.96,92.02,0.4189640924,0.041357511,34.16,67.84,0.3990494052,0.040025301,36.22,65.78,0.4142518146
146,0.049956035,-84.44,154.12,0.4215414094,0.042111746,39.4,62.6,0.4088676831,0.041622632,35.9,66.1,0.3986668428,0.040127464,15,87,0.3944791252
147,0.050113654,34.58,67.42,0.4255376072,0.042199867,-4.7,102.66,0.399523919,0.041735156,37.92,64.08,0.3994319065,0.040301841,-4.04,102,0.3932887982
148,0.050286809,-11.4,109.36,0.4084582667,0.042381213,28.06,73.94,0.4070623956,0.041871268,50,52,0.4064800635,0.040411532,-0.78,102.78,0.3897728175
149,0.050418117,35.52,66.48,0.4068726034,0.04249053,-3.48,103.46,0.3956932952,0.041957945,52.48,49.52,0.4149373817,0.040538796,4.96,97.04,0.3806819903
150,0.050549436,23.18,78.82,0.4029697697,0.042628518,35.94,66.06,0.3938567309,0.042045981,38.46,63.54,0.4081909199,0.040666298,39.02,62.98,0.3782200959
151,0.050648504,22.64,79.36,0.3998997338,0.042753787,19.6,82.4,0.3949037025,0.042133125,51.72,50.28,0.4005344243,0.040789865,34.92,67.08,0.3673350608
152,0.050764997,35.4,66.6,0.4099754201,0.042880429,36.2,65.8,0.3937141418,0.042234519,51.74,50.26,0.3943807472,0.040933231,52.72,49.28,0.3597185561
