iter,E0.1_Steps,E0.1_Time,E0.1_Rewards,E0.1_Convergence,E0.3_Steps,E0.3_Time,E0.3_Rewards,E0.3_Convergence,E0.5_Steps,E0.5_Time,E0.5_Rewards,E0.5_Convergence
127,14,0.000674,86,0.000546872,15,0.000722,-14,0.0004429706,14,0.000686,86,0.0003986734
128,18,0.00086,82,0.0004921848,14,0.000675,86,0.0003986735,16,0.000775,84,0.0003588061
129,18,0.000855,82,0.0004429663,14,0.000676,86,0.0003588062,14,0.000688,86,0.0003229255
130,15,0.00072,85,0.0003986697,16,0.000767,84,0.0003229255,52,0.002398,-348,0.0002906329
131,22,0.001044,78,0.0003588027,34,0.001574,-33,0.000290633,33,0.001548,-131,0.0002615696
132,14,0.000676,86,0.0003229224,16,0.000767,84,0.0002615697,41,0.0019,-139,0.0002354127
133,14,0.000676,86,0.0002906302,73,0.003304,-270,0.0002354127,15,0.000726,85,0.0002118714
134,19,0.000897,81,0.0002615672,14,0.000675,86,0.0002118715,41,0.001911,-40,0.0001906843
135,14,0.000677,86,0.0002354105,14,0.000678,86,0.0001906843,19,0.000911,81,0.0001716158
136,15,0.000738,85,0.0002118694,16,0.000768,-15,0.0001716159,47,0.002185,-145,0.0001544542
137,14,0.00068,86,0.0001906825,30,0.001401,-29,0.0001544543,17,0.000824,-16,0.0001390088
138,17,0.000811,83,0.0001716142,18,0.000857,82,0.0001390089,16,0.000781,84,0.0001251079
139,21,0.000993,79,0.0001544528,18,0.000855,-17,0.000125108,46,0.002137,-243,0.0001125971
140,16,0.000778,84,0.0001390075,14,0.000691,86,0.0001125972,14,0.000684,86,0.0001013374
141,16,0.000772,84,0.0001251068,19,0.000899,81,0.0001013375,28,0.00132,-27,9.12036877736E-05
142,16,0.000769,84,0.0001125961,18,0.000857,82,9.12037128273369E-05,43,0.00199,-141,8.20833190005033E-05
143,14,0.000682,86,0.0001013365,26,0.001236,-25,8.20833415389188E-05,27,0.00127,-26,0.000073875
144,65,0.002966,-64,9.12028339854487E-05,16,0.000772,84,0.000073875,15,0.000736,85,6.64874883824496E-05
145,14,0.000675,86,8.20825505911671E-05,16,0.000771,84,6.64875066433979E-05,18,0.000873,82,5.98387395456257E-05
